GAME 1
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,0,1,0,Tempura,2,2,3,Tempura,1,1,2,
Sashimi,1,1,0,Sashimi,4,1,0,Sashimi,0,1,2,
Dumpling,0,1,1,Dumpling,0,0,3,Dumpling,1,1,2,
Maki,1,0,1,Maki,1,3,1,Maki,0,0,2,
SalmonNigri,2,1,3,SalmonNigri,0,2,0,SalmonNigri,0,2,0,
SquidNigri,2,0,2,SquidNigri,1,0,0,SquidNigri,1,0,0,
EggNigri,1,1,0,EggNigri,0,0,1,EggNigri,1,1,0,
Pudding,1,1,2,Pudding,0,0,1,Pudding,1,3,1,
Wasabi,0,2,0,Wasabi,1,1,0,Wasabi,2,0,0,
Chopsticks,1,1,0,Chopsticks,0,0,0,Chopsticks,2,0,0,
GAME 2
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,1,2,2,Tempura,1,0,1,Tempura,3,0,4,
Sashimi,0,1,2,Sashimi,1,1,1,Sashimi,0,1,4,
Dumpling,2,1,1,Dumpling,0,0,2,Dumpling,1,1,0,
Maki,1,0,1,Maki,1,1,2,Maki,0,1,1,
SalmonNigri,2,1,1,SalmonNigri,1,2,1,SalmonNigri,2,0,0,
SquidNigri,0,0,0,SquidNigri,3,2,0,SquidNigri,0,0,0,
EggNigri,1,1,1,EggNigri,0,1,0,EggNigri,0,1,0,
Pudding,1,0,1,Pudding,0,1,2,Pudding,1,4,0,
Wasabi,1,3,0,Wasabi,2,0,0,Wasabi,0,0,0,
Chopsticks,0,0,0,Chopsticks,0,1,0,Chopsticks,2,1,0,
GAME 3
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,0,0,1,Tempura,2,0,0,Tempura,2,2,2,
Sashimi,1,3,2,Sashimi,2,3,0,Sashimi,1,1,1,
Dumpling,1,3,1,Dumpling,0,1,0,Dumpling,1,2,2,
Maki,2,2,4,Maki,1,0,1,Maki,1,1,0,
SalmonNigri,0,0,0,SalmonNigri,0,2,2,SalmonNigri,1,1,3,
SquidNigri,0,1,1,SquidNigri,0,0,2,SquidNigri,2,0,0,
EggNigri,3,0,0,EggNigri,2,0,0,EggNigri,0,0,0,
Pudding,0,0,0,Pudding,1,2,1,Pudding,0,1,0,
Wasabi,2,0,0,Wasabi,0,1,1,Wasabi,1,1,0,
Chopsticks,0,0,0,Chopsticks,1,0,2,Chopsticks,0,0,1,
GAME 4
Round 1,Player 1,Player 2,Player 3,Round 2,Player 1,Player 2,Player 3,Round 3,Player 1,Player 2,Player 3,
Tempura,1,0,2,Tempura,0,0,1,Tempura,1,0,2,
Sashimi,2,0,0,Sashimi,0,0,3,Sashimi,1,1,2,
Dumpling,1,2,1,Dumpling,2,1,2,Dumpling,1,0,2,
Maki,2,2,1,Maki,0,3,2,Maki,1,2,2,
